INCTOT,INCTOT_group
5820,"Under $10,000"
5830,"Under $10,000"
5840,"Under $10,000"
5850,"Under $10,000"
5860,"Under $10,000"
5870,"Under $10,000"
5880,"Under $10,000"
5890,"Under $10,000"
5900,"Under $10,000"
5910,"Under $10,000"
5920,"Under $10,000"
5930,"Under $10,000"
5940,"Under $10,000"
5950,"Under $10,000"
5960,"Under $10,000"
5970,"Under $10,000"
5980,"Under $10,000"
5990,"Under $10,000"
5996,"Under $10,000"
6000,"Under $10,000"
6004,"Under $10,000"
6010,"Under $10,000"
6020,"Under $10,000"
6030,"Under $10,000"
6040,"Under $10,000"
6050,"Under $10,000"
6054,"Under $10,000"
6060,"Under $10,000"
6070,"Under $10,000"
6080,"Under $10,000"
6090,"Under $10,000"
6100,"Under $10,000"
6110,"Under $10,000"
6120,"Under $10,000"
6130,"Under $10,000"
6140,"Under $10,000"
6150,"Under $10,000"
6160,"Under $10,000"
6170,"Under $10,000"
6180,"Under $10,000"
6190,"Under $10,000"
6200,"Under $10,000"
6210,"Under $10,000"
6220,"Under $10,000"
6230,"Under $10,000"
6240,"Under $10,000"
6250,"Under $10,000"
6260,"Under $10,000"
6270,"Under $10,000"
6280,"Under $10,000"
6290,"Under $10,000"
6300,"Under $10,000"
6310,"Under $10,000"
6320,"Under $10,000"
6330,"Under $10,000"
6340,"Under $10,000"
6350,"Under $10,000"
6360,"Under $10,000"
6370,"Under $10,000"
6380,"Under $10,000"
6390,"Under $10,000"
6400,"Under $10,000"
6410,"Under $10,000"
6420,"Under $10,000"
6430,"Under $10,000"
6440,"Under $10,000"
6450,"Under $10,000"
6460,"Under $10,000"
6470,"Under $10,000"
6480,"Under $10,000"
6490,"Under $10,000"
6500,"Under $10,000"
6510,"Under $10,000"
6520,"Under $10,000"
6530,"Under $10,000"
6540,"Under $10,000"
6550,"Under $10,000"
6560,"Under $10,000"
6570,"Under $10,000"
6580,"Under $10,000"
6590,"Under $10,000"
6600,"Under $10,000"
6610,"Under $10,000"
6620,"Under $10,000"
6630,"Under $10,000"
6640,"Under $10,000"
6650,"Under $10,000"
6660,"Under $10,000"
6670,"Under $10,000"
6680,"Under $10,000"
6690,"Under $10,000"
6700,"Under $10,000"
6710,"Under $10,000"
6720,"Under $10,000"
6730,"Under $10,000"
6740,"Under $10,000"
6750,"Under $10,000"
6760,"Under $10,000"
6770,"Under $10,000"
6780,"Under $10,000"
6790,"Under $10,000"
6800,"Under $10,000"
6804,"Under $10,000"
6810,"Under $10,000"
6820,"Under $10,000"
6830,"Under $10,000"
6840,"Under $10,000"
6850,"Under $10,000"
6860,"Under $10,000"
6870,"Under $10,000"
6880,"Under $10,000"
6890,"Under $10,000"
6900,"Under $10,000"
6904,"Under $10,000"
6910,"Under $10,000"
6920,"Under $10,000"
6930,"Under $10,000"
6940,"Under $10,000"
6950,"Under $10,000"
6960,"Under $10,000"
6970,"Under $10,000"
6980,"Under $10,000"
6990,"Under $10,000"
7000,"Under $10,000"
7004,"Under $10,000"
7010,"Under $10,000"
7020,"Under $10,000"
7030,"Under $10,000"
7040,"Under $10,000"
7050,"Under $10,000"
7060,"Under $10,000"
7070,"Under $10,000"
7080,"Under $10,000"
7090,"Under $10,000"
7100,"Under $10,000"
7104,"Under $10,000"
7110,"Under $10,000"
7120,"Under $10,000"
7130,"Under $10,000"
7140,"Under $10,000"
7150,"Under $10,000"
7160,"Under $10,000"
7170,"Under $10,000"
7180,"Under $10,000"
7190,"Under $10,000"
7200,"Under $10,000"
7204,"Under $10,000"
7210,"Under $10,000"
7220,"Under $10,000"
7230,"Under $10,000"
7240,"Under $10,000"
7250,"Under $10,000"
7260,"Under $10,000"
7270,"Under $10,000"
7280,"Under $10,000"
7290,"Under $10,000"
7300,"Under $10,000"
7310,"Under $10,000"
7320,"Under $10,000"
7330,"Under $10,000"
7340,"Under $10,000"
7350,"Under $10,000"
7360,"Under $10,000"
7370,"Under $10,000"
7380,"Under $10,000"
7390,"Under $10,000"
7400,"Under $10,000"
7410,"Under $10,000"
7420,"Under $10,000"
7430,"Under $10,000"
7440,"Under $10,000"
7450,"Under $10,000"
7460,"Under $10,000"
7470,"Under $10,000"
7480,"Under $10,000"
7490,"Under $10,000"
7500,"Under $10,000"
7510,"Under $10,000"
7520,"Under $10,000"
7530,"Under $10,000"
7540,"Under $10,000"
7550,"Under $10,000"
7560,"Under $10,000"
7570,"Under $10,000"
7580,"Under $10,000"
7590,"Under $10,000"
7600,"Under $10,000"
7610,"Under $10,000"
7620,"Under $10,000"
7630,"Under $10,000"
7640,"Under $10,000"
7650,"Under $10,000"
7660,"Under $10,000"
7670,"Under $10,000"
7680,"Under $10,000"
7690,"Under $10,000"
7700,"Under $10,000"
7704,"Under $10,000"
7710,"Under $10,000"
7714,"Under $10,000"
7720,"Under $10,000"
7730,"Under $10,000"
7740,"Under $10,000"
7750,"Under $10,000"
7760,"Under $10,000"
7770,"Under $10,000"
7780,"Under $10,000"
7790,"Under $10,000"
7800,"Under $10,000"
7804,"Under $10,000"
7810,"Under $10,000"
7820,"Under $10,000"
7830,"Under $10,000"
7840,"Under $10,000"
7850,"Under $10,000"
7860,"Under $10,000"
7870,"Under $10,000"
7880,"Under $10,000"
7890,"Under $10,000"
7900,"Under $10,000"
7904,"Under $10,000"
7910,"Under $10,000"
7920,"Under $10,000"
7930,"Under $10,000"
7940,"Under $10,000"
7950,"Under $10,000"
7960,"Under $10,000"
7970,"Under $10,000"
7980,"Under $10,000"
7990,"Under $10,000"
8000,"Under $10,000"
8004,"Under $10,000"
8010,"Under $10,000"
8020,"Under $10,000"
8030,"Under $10,000"
8040,"Under $10,000"
8050,"Under $10,000"
8060,"Under $10,000"
8070,"Under $10,000"
8080,"Under $10,000"
8090,"Under $10,000"
8100,"Under $10,000"
8110,"Under $10,000"
8120,"Under $10,000"
8130,"Under $10,000"
8140,"Under $10,000"
8150,"Under $10,000"
8160,"Under $10,000"
8170,"Under $10,000"
8180,"Under $10,000"
8190,"Under $10,000"
8200,"Under $10,000"
8210,"Under $10,000"
8220,"Under $10,000"
8230,"Under $10,000"
8240,"Under $10,000"
8250,"Under $10,000"
8260,"Under $10,000"
8270,"Under $10,000"
8280,"Under $10,000"
8290,"Under $10,000"
8296,"Under $10,000"
8300,"Under $10,000"
8304,"Under $10,000"
8310,"Under $10,000"
8320,"Under $10,000"
8330,"Under $10,000"
8340,"Under $10,000"
8350,"Under $10,000"
8360,"Under $10,000"
8370,"Under $10,000"
8380,"Under $10,000"
8390,"Under $10,000"
8400,"Under $10,000"
8404,"Under $10,000"
8410,"Under $10,000"
8420,"Under $10,000"
8430,"Under $10,000"
8440,"Under $10,000"
8450,"Under $10,000"
8460,"Under $10,000"
8470,"Under $10,000"
8480,"Under $10,000"
8490,"Under $10,000"
8500,"Under $10,000"
8510,"Under $10,000"
8520,"Under $10,000"
8530,"Under $10,000"
8540,"Under $10,000"
8550,"Under $10,000"
8560,"Under $10,000"
8570,"Under $10,000"
8580,"Under $10,000"
8590,"Under $10,000"
8600,"Under $10,000"
8604,"Under $10,000"
8610,"Under $10,000"
8620,"Under $10,000"
8630,"Under $10,000"
8640,"Under $10,000"
8650,"Under $10,000"
8660,"Under $10,000"
8670,"Under $10,000"
8680,"Under $10,000"
8690,"Under $10,000"
8700,"Under $10,000"
8710,"Under $10,000"
8720,"Under $10,000"
8730,"Under $10,000"
8740,"Under $10,000"
8750,"Under $10,000"
8760,"Under $10,000"
8770,"Under $10,000"
8780,"Under $10,000"
8790,"Under $10,000"
8800,"Under $10,000"
8810,"Under $10,000"
8820,"Under $10,000"
8830,"Under $10,000"
8840,"Under $10,000"
8850,"Under $10,000"
8860,"Under $10,000"
8870,"Under $10,000"
8880,"Under $10,000"
8890,"Under $10,000"
